SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV
010,0,0,0,United States,0,0,3944154,3951196,3962091,3941616,3941783
010,0,0,0,United States,0,1,3978076,3957772,3965687,3976214,3955942
010,0,0,0,United States,0,2,4096935,4090760,3970771,3978498,3989135
010,0,0,0,United States,0,3,4119044,4111845,4101830,3981693,3989538
010,0,0,0,United States,0,4,4063172,4077502,4121819,4111675,3991690
010,0,0,0,United States,0,5,4056864,4064628,4087540,4131791,4121797
010,0,0,0,United States,0,6,4066386,4072982,4074930,4097799,4142191
010,0,0,0,United States,0,7,4030580,4042983,4083002,4084995,4108053
010,0,0,0,United States,0,8,4046489,4025558,4052872,4093004,4095205
010,0,0,0,United States,0,9,4148355,4125384,4035461,4062932,4103335
010,0,0,0,United States,0,10,4172544,4187038,4135175,4045479,4073258
010,0,0,0,United States,0,11,4114419,4115443,4196868,4145265,4055918
010,0,0,0,United States,0,12,4106245,4113204,4125463,4207149,4155875
010,0,0,0,United States,0,13,4118016,4119467,4123518,4135987,4217964
010,0,0,0,United States,0,14,4165984,4145308,4130538,4134705,4147439
010,0,0,0,United States,0,15,4242823,4230585,4157762,4142975,4147445
010,0,0,0,United States,0,16,4316143,4312623,4245621,4172554,4158116
010,0,0,0,United States,0,17,4395012,4374240,4330381,4263086,4190297
010,0,0,0,United States,0,18,4482141,4474117,4381814,4337559,4268898
010,0,0,0,United States,0,19,4532843,4520266,4468195,4373152,4322692
010,0,0,0,United States,0,20,4452083,4500525,4533924,4481290,4381240
010,0,0,0,United States,0,21,4279728,4311956,4517432,4554604,4497053
010,0,0,0,United States,0,22,4187888,4207766,4334008,4543077,4578745
010,0,0,0,United States,0,23,4122462,4140288,4237634,4367839,4576298
010,0,0,0,United States,0,24,4176230,4170150,4172071,4272629,4402641
010,0,0,0,United States,0,25,4194536,4220808,4200383,4206111,4306633
010,0,0,0,United States,0,26,4090411,4098159,4248052,4231860,4238142
010,0,0,0,United States,0,27,4191801,4179411,4124033,4277651,4263043
010,0,0,0,United States,0,28,4164279,4195041,4202749,4150574,4305448
010,0,0,0,United States,0,29,4176425,4162738,4215310,4226243,4175048
010,0,0,0,United States,0,30,4242754,4260653,4180426,4235386,4247604
010,0,0,0,United States,0,31,3931477,4002520,4275821,4197987,4253741
010,0,0,0,United States,0,32,3951086,3931078,4015553,4291060,4214318
010,0,0,0,United States,0,33,3847235,3899446,3942808,4028391,4305122
010,0,0,0,United States,0,34,3807877,3790791,3909263,3953999,4040221
010,0,0,0,United States,0,35,3925779,3916919,3799242,3918896,3964323
010,0,0,0,United States,0,36,3772055,3799963,3923567,3806929,3927056
010,0,0,0,United States,0,37,3903719,3865605,3805115,3929721,3813699
010,0,0,0,United States,0,38,4090848,4048940,3870252,3810529,3935467
010,0,0,0,United States,0,39,4334817,4293975,4054376,3875863,3816772
010,0,0,0,United States,0,40,4357227,4360439,4297541,4059003,3880812
010,0,0,0,United States,0,41,4092031,4140122,4361639,4300108,4062482
010,0,0,0,United States,0,42,4056190,4062281,4140499,4362719,4301919
010,0,0,0,United States,0,43,4087492,4075728,4062268,4140807,4362571
010,0,0,0,United States,0,44,4196027,4162578,4074612,4061129,4139672
010,0,0,0,United States,0,45,4495152,4424436,4159034,4071329,4057926
010,0,0,0,United States,0,46,4508034,4517454,4418515,4153532,4066157
010,0,0,0,United States,0,47,4525438,4525059,4509632,4410903,4146962
010,0,0,0,United States,0,48,4530934,4526362,4514967,4499963,4401691
010,0,0,0,United States,0,49,4599748,4592471,4514293,4502828,4488410
010,0,0,0,United States,0,50,4655504,4640973,4577875,4500064,4489344
010,0,0,0,United States,0,51,4460916,4495028,4624947,4562125,4485319
010,0,0,0,United States,0,52,4497929,4477508,4477104,4606720,4544872
010,0,0,0,United States,0,53,4378081,4436886,4457791,4457351,4586920
010,0,0,0,United States,0,54,4290237,4286435,4415509,4436275,4436662
010,0,0,0,United States,0,55,4253360,4257365,4263702,4392400,4413880
010,0,0,0,United States,0,56,4036428,4091871,4233449,4239693,4368514
010,0,0,0,United States,0,57,3935450,3945457,4066990,4207836,4214771
010,0,0,0,United States,0,58,3794206,3801601,3919195,4040321,4180843
010,0,0,0,United States,0,59,3640720,3693589,3774408,3891372,4012317
010,0,0,0,United States,0,60,3620856,3616377,3665281,3745808,3862541
010,0,0,0,United States,0,61,3492417,3519869,3586713,3635478,3715840
010,0,0,0,United States,0,62,3563122,3494914,3487730,3554170,3603469
010,0,0,0,United States,0,63,3483853,3652087,3460361,3452598,3519204
010,0,0,0,United States,0,64,2657057,2705917,3616648,3426335,3420392
010,0,0,0,United States,0,65,2680776,2678485,2674963,3579450,3391067
010,0,0,0,United States,0,66,2639148,2621311,2644095,2641363,3534440
010,0,0,0,United States,0,67,2649368,2693683,2584729,2606850,2604610
010,0,0,0,United States,0,68,2323678,2359797,2654661,2546704,2569911
010,0,0,0,United States,0,69,2142328,2167815,2322034,2614073,2508689
010,0,0,0,United States,0,70,2043126,2062492,2129160,2281868,2569502
010,0,0,0,United States,0,71,1949329,1953510,2022202,2088118,2238499
010,0,0,0,United States,0,72,1864276,1883726,1911725,1979577,2044846
010,0,0,0,United States,0,73,1736963,1750221,1839526,1867432,1934570
010,0,0,0,United States,0,74,1684488,1685890,1705033,1792678,1820632
010,0,0,0,United States,0,75,1620082,1631754,1638121,1657349,1743415
010,0,0,0,United States,0,76,1471074,1481577,1580924,1587795,1607329
010,0,0,0,United States,0,77,1455332,1449048,1430570,1527275,1534778
010,0,0,0,United States,0,78,1400126,1402054,1394357,1377032,1471162
010,0,0,0,United States,0,79,1371196,1354769,1343609,1337088,1321197
010,0,0,0,United States,0,80,1308514,1319594,1292394,1282492,1277377
010,0,0,0,United States,0,81,1212869,1212472,1252587,1227499,1219160
